Course Title,Credits,Prerequisites,Concurrent Enrollment,Major
EAS 5640 - Principles of Dynamic Meteorology II,Credit(s): 3 Credits,EAS 5630,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5650 - Radar Meteorology,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5700 - Convection in the Atmosphere,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5720 - Seismological Instrumentation,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5750 - Land-Atmosphere Interaction,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5900 - Geoscience Journal Club,Credit(s): 0-1 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5920 - Geoscience Journal Club,Credit(s): 1 Credit (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5970 - Research Topics,Credit(s): 1-3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5981 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 5990 - Thesis Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6100 - Advanced Topics in Solid Earth Geophysics,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6310 - Advanced Seismology I,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6320 - Advanced Seismology II,Credit(s): 3 Credits,"EAS 6310, EAS 5400",NaN,Earth and Atmospheric Sciences (EAS)
EAS 6480 - Gen Circulation of Atmosphere,Credit(s): 3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6900 - Geoscience Journal Club,Credit(s): 0 or 1 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6920 - Geoscience Journal Club,Credit(s): 1 Credit,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6930 - Special Topics,Credit(s): 1-3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6970 - Research Topics,Credit(s): 1-3 Credits,NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6981 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
EAS 6990 - Dissertation Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Earth and Atmospheric Sciences (EAS)
ECON 1900 - Principles of Economics,Credit(s): 3 Credits,"MATH 1200, MATH 1320, MATH 1400, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 1910 - Introduction to Microeconomics,Credit(s): 3 Credits,MATH 1200,NaN,Economics (ECON)
ECON 1930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 3010 - Introduction to Econometrics,Credit(s): 3 Credits,"ECON 1900, OPM 2070",NaN,Economics (ECON)
ECON 3120 - Intermediate Macroeconomics,Credit(s): 3 Credits,"ECON 1900, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 3140 - Intermediate Microeconomics,Credit(s): 3 Credits,"ECON 1900, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 3790 - Economies of Latin America,Credit(s): 3 Credits,ECON 1900,NaN,Economics (ECON)
ECON 3850 - Political Economy European Union,Credit(s): 3 Credits,ECON 1900,NaN,Economics (ECON)
ECON 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 4080 - Industrial Organization and Public Policy,Credit(s): 3 Credits,"ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4120 - Law and Economics,Credit(s): 3 Credits,"ECON 3120, ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4160 - History of Economic Analysis,Credit(s): 3 Credits,"ECON 3120, ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4200 - Money and Banking,Credit(s): 3 Credits,"ECON 3120, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4300 - International Trade,Credit(s): 3 Credits,"ECON 3120, ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4310 - Exchange Rates and Global Economics,Credit(s): 3 Credits,"ECON 3120, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4450 - Economics of Int'l Migration,Credit(s): 3 Credits,"ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4500 - Sports Economics,Credit(s): 3 Credits,"ECON 3140, OPM 2070, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4560 - Economic Development,Credit(s): 3 Credits,"ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4600 - Public Finance,Credit(s): 3 Credits,"ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4650 - Public Choice and Political Economy,Credit(s): 3 Credits,"ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4700 - Health Economics,Credit(s): 3 Credits,"ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4770 - Advanced Econometrics,Credit(s): 3 Credits,"ECON 3010, ECON 3120, ECON 3140, MATH 1320, MATH 1510, MATH 1520, MATH 2530",NaN,Economics (ECON)
ECON 4910 - Economics Internship,Credit(s): 1-3 Credits (Repeatable for credit),"ECON 1900, ECON 3120, ECON 3140",Concurrent enrollment allowed.,Economics (ECON)
ECON 4930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 4980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),"ECON 3120, ECON 3140",NaN,Economics (ECON)
ECON 5010 - Economics for Managers,Credit(s): 3 Credits,NaN,NaN,Economics (ECON)
ECON 5910 - Graduate Internship,Credit(s): 1-6 Credits,NaN,NaN,Economics (ECON)
ECON 5930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 6000 - Microeconomic Theory,Credit(s): 3 Credits,ECON 5010,NaN,Economics (ECON)
ECON 6050 - Econometrics I,Credit(s): 3 Credits,"ECON 5010, OPM 5020",NaN,Economics (ECON)
ECON 6060 - Econometrics II,Credit(s): 3 Credits,"ECON 6050, ECON 6000",NaN,Economics (ECON)
ECON 6100 - Applied Bayesian Methods,Credit(s): 3 Credits,"ECON 6050, OPM 5020",NaN,Economics (ECON)
ECON 6120 - Applied Macroeconomics,Credit(s): 3 Credits,NaN,NaN,Economics (ECON)
ECON 6200 - Monetary Theory,Credit(s): 3 Credits,ECON 6000,NaN,Economics (ECON)
ECON 6310 - Exchange Rates and International Adjustments,Credit(s): 3 Credits,ECON 6000,NaN,Economics (ECON)
ECON 6350 - Public Finance,Credit(s): 3 Credits,ECON 5010,NaN,Economics (ECON)
ECON 6500 - Sports Economics,Credit(s): 3 Credits (Repeatable for credit),"ECON 5010, OPM 5020",NaN,Economics (ECON)
ECON 6520 - Forecasting Macroeconomic and Financial Variables,Credit(s): 3 Credits,"ECON 6000, ECON 6050",NaN,Economics (ECON)
ECON 6550 - Applied Optimization Methods for Financial Economics,Credit(s): 3 Credits,"ECON 6060, ECON 6520",NaN,Economics (ECON)
ECON 6850 - Applied Financial Economics Capstone,Credit(s): 3 Credits,"ECON 6000, ECON 6050, ECON 6060, ECON 6520",NaN,Economics (ECON)
ECON 6930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
ECON 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Economics (ECON)
EDUC 1010 - Introduction to Teaching: Sense of Identity,Credit(s): 1 Credit,"EDUC 1015, EDUC 1025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 1015 - Teacher Learning Community Seminar (Phase I),Credit(s): 1 Credit (Repeatable up to 5 credits),"EDUC 1010, EDUC 1020, EDUC 1030, EDUC 1040, EDUC 1050, EDUC 1100",Concurrent enrollment allowed.,Education (EDUC)
EDUC 1020 - Introduction to Teaching: Sense of Purpose,Credit(s): 1 Credit,"EDUC 1015, EDUC 1025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 1025 - Teacher Learning Community Seminar with Field Experience (Phase I),Credit(s): 2 Credits (Repeatable up to 8 credits),NaN,NaN,Education (EDUC)
EDUC 1030 - Introduction to Teaching: Sense of Context,Credit(s): 1 Credit,"EDUC 1015, EDUC 1025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 1040 - Introduction to Teaching: Sense of Inquiry,Credit(s): 1 Credit,"EDUC 1015, EDUC 1025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 1050 - Introduction to Teaching: Sense of Praxis,Credit(s): 1 Credit,"EDUC 1015, EDUC 1025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 1100 - Reimagining School and Society,Credit(s): 2 Credits,"EDUC 1015, EDUC 1025",Concurrent enrollment allowed.,Education (EDUC)
"EDUC 1200 - Growth, Development, and Learning",Credit(s): 3 Credits,NaN,NaN,Education (EDUC)
EDUC 1300 - Exceptional Learners,Credit(s): 3 Credits,NaN,NaN,Education (EDUC)
EDUC 2015 - Teacher Learning Community Seminar (Phase II),Credit(s): 1 Credit (Repeatable up to 4 credits),"EDUC 1025, EDUC 2100, EDUC 2150, EDUC 2200, EDUC 2310, EDUC 2320, EDUC 2330, EDUC 2400, EDUC 2410",Concurrent enrollment allowed.,Education (EDUC)
EDUC 2100 - Big Ideas: Literacy and Social Studies (Birth-Grade 12),Credit(s): 3 Credits,"EDUC 1030, EDUC 1040, EDUC 1050",NaN,Education (EDUC)
EDUC 2150 - Environments for Learning 1: Space and Classroom Design,Credit(s): 1 Credit,"EDUC 1010, EDUC 1020",NaN,Education (EDUC)
EDUC 2200 - Big Ideas: Mathematics and Science (Birth-Grade 12),Credit(s): 3 Credits,"EDUC 1030, EDUC 1040, EDUC 1050",NaN,Education (EDUC)
EDUC 2310 - Principles of Early Childhood Education (Birth-Grade 3),Credit(s): 3 Credits,"EDUC 1050, EDUC 1200",NaN,Education (EDUC)
EDUC 2320 - Play Across the Curriculum (Birth-Grade 3),Credit(s): 3 Credits,EDUC 2310,Concurrent enrollment allowed.,Education (EDUC)
EDUC 2330 - Meaningful Mathematics for Young Children (Birth-Grade 3),Credit(s): 3 Credits,"EDUC 2310, EDUC 2200",Concurrent enrollment allowed.,Education (EDUC)
"EDUC 2400 - Literature and the Arts: A Tool for Advocacy, Equity, and Identity (Kindergarten-Grade 8)",Credit(s): 3 Credits,"EDUC 1010, EDUC 1020",NaN,Education (EDUC)
EDUC 2410 - Language Acquisition and Supports for Learners with Special Needs,Credit(s): 3 Credits,EDUC 1300,NaN,Education (EDUC)
EDUC 3000 - Inclusive Practices in Instructional Settings (Birth-Grade 12),Credit(s): 3 Credits,"EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3015 - Teacher Learning Community Seminar - Teachers as Researchers (Phase III),Credit(s): 1 Credit (Repeatable up to 4 credits),"EDUC 3000, EDUC 3150, EDUC 3310, EDUC 3320, EDUC 3330, EDUC 3335, EDUC 3340, EDUC 3350, EDUC 3440, EDUC 3470, EDUC 3480, EDUC 3490, EDUC 3500, EDUC 3550, EDUC 3600, EDUC 3700, EDUC 3800",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3025 - Teacher Learning Community Seminar - Learners as Researchers (Phase III),Credit(s): 1 Credit (Repeatable up to 4 credits),"EDUC 3000, EDUC 3150, EDUC 3310, EDUC 3320, EDUC 3330, EDUC 3335, EDUC 3340, EDUC 3350, EDUC 3440, EDUC 3470, EDUC 3480, EDUC 3490, EDUC 3500, EDUC 3550, EDUC 3600, EDUC 3700, EDUC 3800",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3150 - Environments for Learning 2: Intentional Design for Classroom Management,Credit(s): 1 Credit,"EDUC 2150, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
"EDUC 3310 - Designing, Delivering, and Documenting Integrated Curriculum for Infants and Toddlers (Birth-Age 3)",Credit(s): 4 Credits,"EDUC 2310, EDUC 2320, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
"EDUC 3320 - Designing, Delivering, and Documenting Integrated Curriculum for Preschoolers (Ages 3-5)",Credit(s): 4 Credits,"EDUC 2310, EDUC 2320, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3330 - Curricular Foundations of Language and Literacy (Birth-Grade 3),Credit(s): 3 Credits,"EDUC 2100, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3335 - Curricular Foundations of Mathematics and Science (Kindergarten-Grade 3),Credit(s): 3 Credits,"EDUC 2200, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3340 - Socially Just Pedagogy in Early Childhood Education (Birth-Grade 3),Credit(s): 3 Credits,"EDUC 2310, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3350 - Creative Arts for Young Children (Birth-Grade 3),Credit(s): 3 Credits,"EDUC 2310, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3440 - Assessment to Inform Special Education Programming,Credit(s): 3 Credits,"EDUC 3015, EDUC 3025",NaN,Education (EDUC)
EDUC 3470 - Transition and Independence for Learners with Special Needs,Credit(s): 2 Credits,"EDUC 1300, EDUC 3440, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3480 - Developing Strength-Based Class Communities in Specialized Settings,Credit(s): 3 Credits,"EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3490 - Designing and Implementing Curriculum for Learners with Mild/Moderate Educational Needs,Credit(s): 3 Credits,"EDUC 3330, EDUC 3500, EDUC 3015, EDUC 3025, EDUC 3440",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3500 - Curricular Foundations of Disciplinary Literacy (Grades 4-12),Credit(s): 3 Credits,"EDUC 2100, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3550 - Curricular Foundations of Mathematical/Scientific Problem-Solving (Grades 4-12),Credit(s): 3 Credits,"EDUC 2200, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3560 - Promoting Health and Wellness Across the Elementary,Credit(s): 2 Credits,"EDUC 2100, EDUC 2200, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
"EDUC 3600 - Designing, Delivering, and Documenting Integrated Mathematics/Science Curriculum  (Kdg-Grade 12)",Credit(s): 3 Credits,"EDUC 2330, EDUC 3335, EDUC 3550, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
"EDUC 3700 - Designing, Delivering, and Documenting Integrated Literacy/Social Studies Curriculum (Kdg-Grade 12)",Credit(s): 3 Credits,"EDUC 3330, EDUC 3500, EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 3800 - Middle School Organization and Philosophy,Credit(s): 2 Credits,"EDUC 3015, EDUC 3025",Concurrent enrollment allowed.,Education (EDUC)
EDUC 4000 - Collaboration in Education: Families and Communities,Credit(s): 3 Credits,"EDUC 3015, EDUC 3025",NaN,Education (EDUC)
EDUC 4015 - Teacher Learning Community Seminar (Phase IV),Credit(s): 1 Credit (Repeatable up to 4 credits),"EDUC 3015, EDUC 3025, EDUC 4000, EDUC 4200, EDUC 4310, EDUC 4150, EDUC 4400",Concurrent enrollment allowed.,Education (EDUC)
EDUC 4025 - Teacher Learning Community - Senior Seminar (Phase IV),Credit(s): 1 Credit (Repeatable up to 4 credits),"EDUC 3015, EDUC 3025",NaN,Education (EDUC)
EDUC 4150 - Environments for Learning 3: Creating Culturally Sustaining Learning Environments,Credit(s): 1 Credit,"EDUC 3015, EDUC 3025, EDUC 3150",NaN,Education (EDUC)
EDUC 4200 - Internship,Credit(s): 3-5 Credits,"EDUC 3015, EDUC 3025",NaN,Education (EDUC)
EDUC 4300 - Understanding and Responding to All Literacy Learners (Kindergarten-Grade 12),Credit(s): 3 Credits,NaN,NaN,Education (EDUC)
EDUC 4310 - Leadership in Early Childhood Education,Credit(s): 3 Credits,"EDUC 3340, EDUC 3015, EDUC 3025",NaN,Education (EDUC)
EDUC 4400 - Understanding and Responding to All Mathematics Learners (Kindergarten-Grade 12),Credit(s): 3 Credits,"EDUC 3015, EDUC 3025, EDUC 3600",NaN,Education (EDUC)
EDUC 4500 - Student Teaching,Credit(s): 8 Credits,EDUC 4200,NaN,Education (EDUC)
EPE 5050 - Proseminar on Ed Research,Credit(s): 3 Credits,NaN,NaN,Education -â€‹ Ed Policy &â€‹ Equity (EPE)
EPE 5250 - Contemporary Issues in Education Policy,Credit(s): 3 Credits,NaN,NaN,Education -â€‹ Ed Policy &â€‹ Equity (EPE)
EPE 6250 - Economics of Education,Credit(s): 3 Credits,NaN,NaN,Education -â€‹ Ed Policy &â€‹ Equity (EPE)
EPE 6650 - Applied Research and Reporting,Credit(s): 3 Credits,"EDR 5000, EDR 5100, EDR 5400, EDR 6100",Concurrent enrollment allowed.,Education -â€‹ Ed Policy &â€‹ Equity (EPE)
EPE 6950 - Special Study for Written Comprehensive Exams,Credit(s): 0 Credits,NaN,NaN,Education -â€‹ Ed Policy &â€‹ Equity (EPE)
EDF 2010 - Foundations of Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 2020 - Foundations of Elementary Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 2030 - Foundations of Middle School Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 2040 - Foundations of Secondary Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 2240 - Growth Development and Learning,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 2930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 3620 - Culture and the Classroom,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 3710 - Development of the Young Child,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 3840 - Professional Ethics,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 3890 - School and Community,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 3930 - Special Topics,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 3980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 4835 - Foundations of Catholic Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 4930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 4980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 5300 - Advanced Educational Psychology,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 5600 - Foundations of Urban Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 5700 - Advanced Growth and Development,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 5835 - Foundations of Catholic Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 5930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 5950 - Special Study for Exams,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 5980 - Graduate Reading Course,Credit(s): 1-3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6050 - Multicultural Issues in Public Service,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6300 - Studies in Catholic Education,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 6310 - Seminar: Catholic Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6460 - History of American Education from 1865,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6600 - Education in American Culture,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6650 - Seminar: History of American Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
"EDF 6700 - Reimagining Schools for Equity, Justice, & Healing",Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6850 - Seminar: Comparative Education,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6870 - Seminar: Current Educational Problems,Credit(s): 3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 6950 - Special Study for Written Comprehensive Exams,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 6960 - Project Guidance,Credit(s): 0-4 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 6970 - Research Topics,Credit(s): 1-3 Credits,NaN,NaN,Education Foundations (EDF)
EDF 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDF 6990 - Dissertation Research,Credit(s): 0-12 Credits (Repeatable for credit),NaN,NaN,Education Foundations (EDF)
EDL 3892 - Leadership and Service Seminar,Credit(s): 3 Credits,CORE 1500,Concurrent enrollment allowed.,Education Leadership (EDL)
EDL 3910 - Internship in Orientation Leadership,Credit(s): 0-1 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 3915 - Internship in Peer Instruction,Credit(s): 0-1 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5000 - Educational Leadership Non-Certification Practicum,Credit(s): 0-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5100 - Foundations of Ed Admin,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5150 - Special Dimensions of Ed Admin,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5190 - Building Level Administration and Community Relations,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5200 - School-Community Relations,Credit(s): 2-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5300 - School Law,Credit(s): 2-3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5450 - Managing the Building Level Curriculum,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5500 - Professional Seminar,Credit(s): 2 or 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5630 - The Principalship,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5660 - Principalship II,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5730 - Building Level Professional Development and Teacher Evaluation,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5910 - Internship:  Elementary Principal,Credit(s): 2-6 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5911 - Internship: Secondary Principal,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 5913 - Internship: Building Principal,Credit(s): 0-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5914 - Internship: Superintendent Internship,Credit(s): 0-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5950 - Special Study for Written Comprehensive Exams,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6110 - School District Administration,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6140 - The Politics of Education,Credit(s): 2-3 Credits,NaN,NaN,Education Leadership (EDL)
"EDL 6190 - School, Community, and Politics",Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6200 - Ethics of Ed Leadership,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6300 - Advanced School Law,Credit(s): 2 or 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6390 - Gateway Leadership Institute,Credit(s): 2-3 Credits (Repeatable up to 6 credits),NaN,NaN,Education Leadership (EDL)
EDL 6400 - Sem: Human Resources Admin,Credit(s): 2-3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6450 - Managing the District Level Curriculum,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6470 - School Facilities,Credit(s): 2-3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6500 - School Finance,Credit(s): 2-3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6510 - Seminar: Advanced Religious Education,Credit(s): 3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6690 - School Business Administration,Credit(s): 2-3 Credits,NaN,NaN,Education Leadership (EDL)
EDL 6730 - District Level Professional Development and Teacher Evaluation,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6950 - Special Study for Written Comprehensive Exams,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6960 - Project Guidance,Credit(s): 0-6 Credits (Repeatable for credit),"EDR 5000, EDR 5100, EDR 6100, EDR 5500",NaN,Education Leadership (EDL)
EDL 6970 - Research Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6971 - Research Topics for EdD,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
EDL 6990 - Dissertation Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Education Leadership (EDL)
